feature,native_importance,permutation_importance,permutation_std,native_rank,permutation_rank
pickup_Boston,0.000996941180045364,5.741416819013411e-07,2.6028599216328915e-06,98,64
pickup_Providence,0.0009709683661264452,-4.540680919901119e-07,1.948284905324784e-06,99,125
pickup_Charleston,0.0009469805197461325,2.9908290252012025e-06,1.5551121499897257e-06,100,38
delivery_Tucson,0.0008886226463716897,-1.4184603336686585e-06,6.695168264937319e-07,101,131
pickup_Reno,0.0008860177829195896,2.828028373980107e-07,4.6231969760181324e-07,102,67
pickup_Fort Wayne,0.0008388660657076147,-3.6866154240200454e-07,9.553042576475013e-07,103,124
pickup_Tampa,0.0007214535177282264,-3.407555915033167e-07,2.6027591612216757e-07,104,122
delivery_Amarillo,0.0006495218256184794,-3.5281935387862507e-06,8.969301369350248e-07,105,142
pickup_Mobile,0.0006401241220011388,-1.5729167108347042e-06,8.889020383230796e-07,106,132
delivery_Kansas City,0.0006046370800219489,1.076431337916628e-06,7.372658473012911e-07,107,52
delivery_Las Vegas,0.000570927445846698,-1.9880473980021795e-06,1.6290020471928567e-07,108,134
delivery_Louisville,0.00046493253478501373,-5.106572485022442e-07,3.182515076368021e-07,109,126
pickup_Baltimore,0.0004587481941858847,-2.491276380542362e-06,1.4048460765271113e-06,110,136
pickup_Greensboro,0.0004084160948230043,1.3614063705716384e-06,4.355051270098453e-07,111,48
delivery_Tampa,0.0002852385553076639,-9.058458928096202e-08,7.537373354776383e-07,112,117
delivery_El Paso,1.7523106191997038e-05,5.870333845914288e-07,2.624003656706528e-07,113,63
delivery_Albany,0.0,0.0,0.0,135,93
delivery_Austin,0.0,0.0,0.0,135,93
delivery_Atlanta,0.0,0.0,0.0,135,93
delivery_Green Bay,0.0,0.0,0.0,135,93
delivery_Fresno,0.0,0.0,0.0,135,93
delivery_Corpus Christi,0.0,0.0,0.0,135,93
delivery_Columbia,0.0,0.0,0.0,135,93
delivery_Charleston,0.0,0.0,0.0,135,93
delivery_Montgomery,0.0,0.0,0.0,135,93
delivery_Hartford,0.0,0.0,0.0,135,93
delivery_Nashville,0.0,0.0,0.0,135,93
pickup_Bakersfield,0.0,0.0,0.0,135,93
pickup_Austin,0.0,0.0,0.0,135,93
pickup_Albuquerque,0.0,0.0,0.0,135,93
pickup_Amarillo,0.0,0.0,0.0,135,93
pickup_Albany,0.0,0.0,0.0,135,93
equipment_is_unknown,0.0,0.0,0.0,135,93
delivery_Tulsa,0.0,0.0,0.0,135,93
delivery_Washington,0.0,0.0,0.0,135,93
delivery_is_unknown,0.0,0.0,0.0,135,93
delivery_Philadelphia,0.0,0.0,0.0,135,93
delivery_New Orleans,0.0,0.0,0.0,135,93
delivery_New York,0.0,0.0,0.0,135,93
delivery_San Antonio,0.0,0.0,0.0,135,93
delivery_Reno,0.0,0.0,0.0,135,93
delivery_Savannah,0.0,0.0,0.0,135,93
delivery_San Francisco,0.0,0.0,0.0,135,93
delivery_Providence,0.0,0.0,0.0,135,93
delivery_Madison,0.0,0.0,0.0,135,93
pickup_Houston,0.0,0.0,0.0,135,93
pickup_Jacksonville,0.0,0.0,0.0,135,93
pickup_Birmingham,0.0,0.0,0.0,135,93
pickup_Corpus Christi,0.0,0.0,0.0,135,93
pickup_Dayton,0.0,0.0,0.0,135,93
pickup_Fresno,0.0,0.0,0.0,135,93
pickup_Lexington,0.0,0.0,0.0,135,93
pickup_Harrisburg,0.0,0.0,0.0,135,93
pickup_New York,0.0,0.0,0.0,135,93
pickup_Philadelphia,0.0,0.0,0.0,135,93
pickup_San Antonio,0.0,0.0,0.0,135,93
pickup_Shreveport,0.0,0.0,0.0,135,93
pickup_Toledo,0.0,0.0,0.0,135,93
pickup_is_unknown,0.0,0.0,0.0,135,93
